gem17,gem17name,fl17,bev17,kennziffer,name,krs17,
9776112,Gestratz,15.32,"1,274",9776937,Argental (VGem),9776000,Lindau (Bodensee)
9776113,Grünenbach,25.1,"1,471",9776937,Argental (VGem),9776000,Lindau (Bodensee)
9776114,"Heimenkirch, Markt",21.24,"3,585",9776114,"Heimenkirch, Markt",9776000,Lindau (Bodensee)
9776115,Hergensweiler,12.09,"1,894",9776935,Sigmarszell (VGem),9776000,Lindau (Bodensee)
9776116,"Lindau (Bodensee), GKSt",33.06,"25,253",9776116,"Lindau (Bodensee), GKSt",9776000,Lindau (Bodensee)
9776117,"Lindenberg i.Allgäu, Stadt",11.84,"11,489",9776117,"Lindenberg i.Allgäu, Stadt",9776000,Lindau (Bodensee)
9776118,Maierhöfen,17.93,"1,580",9776937,Argental (VGem),9776000,Lindau (Bodensee)
9776120,Nonnenhorn,1.97,"1,743",9776120,Nonnenhorn,9776000,Lindau (Bodensee)
9776121,Oberreute,13.48,"1,648",9776938,Stiefenhofen (VGem),9776000,Lindau (Bodensee)
9776122,Opfenbach,16.77,"2,289",9776122,Opfenbach,9776000,Lindau (Bodensee)
9776124,Röthenbach (Allgäu),14.94,"1,835",9776937,Argental (VGem),9776000,Lindau (Bodensee)
9776125,"Scheidegg, Markt",27.36,"4,236",9776125,"Scheidegg, Markt",9776000,Lindau (Bodensee)
9776126,Sigmarszell,16,"2,927",9776935,Sigmarszell (VGem),9776000,Lindau (Bodensee)
9776127,Stiefenhofen,28.99,"1,830",9776938,Stiefenhofen (VGem),9776000,Lindau (Bodensee)
9776128,Wasserburg (Bodensee),6.33,"3,790",9776128,Wasserburg (Bodensee),9776000,Lindau (Bodensee)
9776129,"Weiler-Simmerberg, Markt",31.31,"6,271",9776129,"Weiler-Simmerberg, Markt",9776000,Lindau (Bodensee)
9776130,Weißensberg,7.84,"2,640",9776935,Sigmarszell (VGem),9776000,Lindau (Bodensee)
9776131,Hergatz,18.79,"2,363",9776131,Hergatz,9776000,Lindau (Bodensee)
9777111,Aitrang,30.73,"2,028",9777952,Biessenhofen (VGem),9777000,Ostallgäu
9777112,Biessenhofen,27.01,"4,101",9777952,Biessenhofen (VGem),9777000,Ostallgäu
9777114,Baisweil,26.3,"1,293",9777953,Eggenthal (VGem),9777000,Ostallgäu
9777118,Bidingen,36.31,"1,712",9777952,Biessenhofen (VGem),9777000,Ostallgäu
9777121,"Buchloe, Stadt",36.18,"13,005",9777948,Buchloe (VGem),9777000,Ostallgäu
9777124,Eggenthal,28.09,"1,361",9777953,Eggenthal (VGem),9777000,Ostallgäu
9777125,Eisenberg,13.58,"1,183",9777956,Seeg (VGem),9777000,Ostallgäu
9777128,Friesenried,22.21,"1,551",9777953,Eggenthal (VGem),9777000,Ostallgäu
9777129,"Füssen, Stadt",43.48,"15,558",9777129,"Füssen, Stadt",9777000,Ostallgäu
9777130,Germaringen,22.88,"3,880",9777130,Germaringen,9777000,Ostallgäu
9777131,Görisried,23.14,"1,318",9777955,Unterthingau (VGem),9777000,Ostallgäu
9777135,Hopferau,13.15,"1,160",9777956,Seeg (VGem),9777000,Ostallgäu
9777138,Günzach,23.48,"1,446",9777954,Obergünzburg (VGem),9777000,Ostallgäu
9777139,"Irsee, Markt",17.44,"1,515",9777949,Pforzen (VGem),9777000,Ostallgäu
9777140,Jengen,33.74,"2,412",9777948,Buchloe (VGem),9777000,Ostallgäu
9777141,"Kaltental, Markt",22.14,"1,664",9777951,Westendorf (VGem),9777000,Ostallgäu
9777144,Kraftisried,16.24,796,9777955,Unterthingau (VGem),9777000,Ostallgäu
9777145,Lamerdingen,34.25,"2,014",9777948,Buchloe (VGem),9777000,Ostallgäu
9777147,Lechbruck am See,17.23,"2,660",9777147,Lechbruck am See,9777000,Ostallgäu
9777149,Lengenwang,19.61,"1,445",9777956,Seeg (VGem),9777000,Ostallgäu
9777151,"Marktoberdorf, Stadt",95.15,"18,396",9777151,"Marktoberdorf, Stadt",9777000,Ostallgäu
9777152,Mauerstetten,16.57,"3,114",9777152,Mauerstetten,9777000,Ostallgäu
9777153,"Nesselwang, Markt",29.54,"3,592",9777153,"Nesselwang, Markt",9777000,Ostallgäu
9777154,"Obergünzburg, Markt",46.69,"6,409",9777954,Obergünzburg (VGem),9777000,Ostallgäu
9777155,Oberostendorf,21.04,"1,389",9777951,Westendorf (VGem),9777000,Ostallgäu
9777157,Osterzell,10.8,705,9777951,Westendorf (VGem),9777000,Ostallgäu
9777158,Pforzen,23.69,"2,288",9777949,Pforzen (VGem),9777000,Ostallgäu
9777159,Pfronten,62.22,"8,217",9777159,Pfronten,9777000,Ostallgäu
9777163,Rieden am Forggensee,13.16,"1,298",9777970,Roßhaupten (VGem),9777000,Ostallgäu
9777164,Rieden,8.41,"1,298",9777949,Pforzen (VGem),9777000,Ostallgäu
9777165,"Ronsberg, Markt",16.52,"1,681",9777165,"Ronsberg, Markt",9777000,Ostallgäu
9777166,Roßhaupten,39.01,"2,185",9777970,Roßhaupten (VGem),9777000,Ostallgäu
9777167,Ruderatshofen,33.52,"1,810",9777952,Biessenhofen (VGem),9777000,Ostallgäu
9777168,Rückholz,17.22,855,9777956,Seeg (VGem),9777000,Ostallgäu
9777169,Schwangau,76,"3,268",9777169,Schwangau,9777000,Ostallgäu
9777170,Seeg,50.04,"2,945",9777956,Seeg (VGem),9777000,Ostallgäu
9777171,Stötten a.Auerberg,40.73,"1,865",9777972,Stötten a.Auerberg (VGem),9777000,Ostallgäu
9777172,Stöttwang,19.8,"1,813",9777951,Westendorf (VGem),9777000,Ostallgäu
9777173,Halblech,125.43,"3,490",9777173,Halblech,9777000,Ostallgäu
9777175,"Unterthingau, Markt",45.28,"2,889",9777955,Unterthingau (VGem),9777000,Ostallgäu
9777176,Untrasried,25.75,"1,584",9777954,Obergünzburg (VGem),9777000,Ostallgäu
9777177,"Waal, Markt",27.95,"2,291",9777948,Buchloe (VGem),9777000,Ostallgäu
9777179,Wald,17.94,"1,129",9777956,Seeg (VGem),9777000,Ostallgäu
9777182,Westendorf,11.93,"1,804",9777951,Westendorf (VGem),9777000,Ostallgäu
9777183,Rettenbach a.Auerberg,12.88,861,9777972,Stötten a.Auerberg (VGem),9777000,Ostallgäu
9778111,Amberg,10.96,"1,454",9778964,Türkheim (VGem),9778000,Unterallgäu
9778113,Apfeltrach,15.01,930,9778966,Dirlewang (VGem),9778000,Unterallgäu
9778115,"Babenhausen, Markt",27.23,"5,593",9778958,Babenhausen (VGem),9778000,Unterallgäu
9778116,"Bad Wörishofen, Stadt",57.79,"15,922",9778116,"Bad Wörishofen, Stadt",9778000,Unterallgäu
9778118,Benningen,11.17,"1,999",9778965,Memmingerberg (VGem),9778000,Unterallgäu
9778119,Böhen,20.55,772,9778957,Ottobeuren (VGem),9778000,Unterallgäu
9778120,Boos,17.59,"1,994",9778961,Boos (VGem),9778000,Unterallgäu
9778121,Breitenbrunn,41.89,"2,340",9778959,Pfaffenhausen (VGem),9778000,Unterallgäu
9778123,Buxheim,10.23,"3,160",9778123,Buxheim,9778000,Unterallgäu
9778127,"Dirlewang, Markt",23.25,"2,156",9778966,Dirlewang (VGem),9778000,Unterallgäu
9778130,Egg a.d.Günz,20.71,"1,139",9778958,Babenhausen (VGem),9778000,Unterallgäu
9778134,Eppishausen,39.46,"1,838",9778960,Kirchheim i.Schw. (VGem),9778000,Unterallgäu
9778136,"Erkheim, Markt",32.16,"3,025",9778962,Erkheim (VGem),9778000,Unterallgäu
9778137,Ettringen,41.5,"3,405",9778137,Ettringen,9778000,Unterallgäu
9778139,Fellheim,5.07,"1,140",9778961,Boos (VGem),9778000,Unterallgäu
9778144,"Bad Grönenbach, Markt",41.99,"5,600",9778968,Bad Grönenbach (VGem),9778000,Unterallgäu
9778149,Hawangen,14.53,"1,343",9778957,Ottobeuren (VGem),9778000,Unterallgäu
9778150,Heimertingen,13.84,"1,710",9778961,Boos (VGem),9778000,Unterallgäu
9778151,Holzgünz,12.08,"1,289",9778965,Memmingerberg (VGem),9778000,Unterallgäu
9778157,Kirchhaslach,31.99,"1,261",9778958,Babenhausen (VGem),9778000,Unterallgäu
9778158,"Kirchheim i.Schw., Markt",31.95,"2,574",9778960,Kirchheim i.Schw. (VGem),9778000,Unterallgäu
9778161,Kronburg,20.26,"1,762",9778967,Illerwinkel (VGem),9778000,Unterallgäu
